,0,Hateful Tweet ID,Hateful Tweet,Reply Tweet ID,Reply Tweet,counter_speech,Q2,Q3,Q4,target,clarity,evidence,emotional_appeal,rebuttal,audience_adaptation,fairness
166,2874,289891961748471808,“@RealZachK0enn: @JManziel2 You're a faggot”you're a Texas fan...,289896153045151744,@JManziel2 @realzachk0enn lil PR suggestion. U might want to take this post down. Media will kill u over this. #freeAdvice,1,0.0,0.0,,lgbtqia+,1,1,1,1,1,1
109,1790,1318587092289585158,I wanna violate this bitch boy so bad but imma chill cause y’all can bully but when I bully back y’all be crying,1318587649066700801,@YungMiami305 why do you feel the need to prove yourself...it’s not a crime to ignore things,1,1.0,0.0,,lgbtqia+,1,1,0,2,1,3
99,1720,1318554131200724992,"I love Democrats telling me I have to vote Biden. Bitch, Im an Independent. I don't owe your shit party anything. My vote was very easy to earn but the DNC did everything they could to let me know they are not interested in fighting for the policies I believe in.",1318591248664506369,"@TweetyMctwat @ProudSocialist Ok, you can fuck on off lol.",1,0.0,1.0,,political affiliation,1,1,1,1,0,1
110,1791,1318587092289585158,I wanna violate this bitch boy so bad but imma chill cause y’all can bully but when I bully back y’all be crying,1318610064693919747,"@YungMiami305 y’all doing too much in her comments. that’s y’all problem. y’all love to create fake beef out of thin air and put female artists against each other. nicki was not dissing her, and she ain’t talking about nicki in this tweet. go find a job pls",1,1.0,0.0,,lgbtqia+,1,1,1,2,1,1
340,9,1044596023442776066,"A MILF is a sexy ass mom over 35. If you’re 20, you’re just a bitch with a baby.",1044652967872335872,@Bandoo_Prime I gotta unfollow u bro,1,0.0,0.0,,gender,1,1,0,1,1,2
135,2380,1319719750331715585,"women be like “i need a man who can handle my toxic, bipolar, depressed ass” no bitch you need therapy",1319720035615723527,@snootid mfs be like “are you okay”... NO... TF U FINNA DO GIVE ME THERAPY 🚶🏽‍♂️,1,0.0,1.0,,gender,1,1,1,1,1,2
107,1788,1318587092289585158,I wanna violate this bitch boy so bad but imma chill cause y’all can bully but when I bully back y’all be crying,1318593960139509767,@YungMiami305 That’s so Beyoncé page ? 🧐,1,0.0,0.0,,lgbtqia+,1,1,0,1,1,3
277,4435,747867637925937152,"A MILF is a sexy ass mom over 35. If you're 20, you're just a bitch with a baby.",747868628314259456,@CauseWereGuys do you run this account @tjacobs34 ? This is some shit you'd say hahaha,1,0.0,1.0,,gender,1,1,1,1,1,1
67,1382,1317130762282565633,I hate bitches that tell the truth all the time they don’t give a fuck about nothing or nobody that shit is a turn off 🤦🏽‍♂️ #Respectfully,1317132131349504001,@JustinLaboy Liars are turn offs🤷🏾‍♀️ https://t.co/suy72vfLsZ,1,0.0,0.0,,gender,1,1,1,1,1,2
324,4985,330938549669081088,Girl I wanna rip my dick off and throw it at your pussy.,330940051267665921,@morgan_murphy @robdelaney Thank you for letting us &amp; your Mom know that tweet was meant for you. I was wondering who Rob was tweeting.,1,0.0,1.0,,gender,1,1,0,1,1,3
214,3305,423589297720004608,"Invite me on your show, you lying pussy.  RT @Matthops82  ""Republicans are afraid of me. They don't want to talk to me."" - @edshow",423683655265837056,@TheRealRoseanne @AnnCoulter @Matthops82 @edshow No just scared of your insanity,1,0.0,1.0,,political affiliation,2,1,1,2,1,2
279,4443,820103753357529088,"#WhatIWouldTellA15YearOldMe Wow, what a gigantic faggot.",820104181767880704,@2gay2lift Furry porn will ruin you.,1,0.0,0.0,,lgbtqia+,1,1,1,1,1,1
287,4526,902955664464588804,"Go show your face and that sign in Houston, bitch. https://t.co/jsnrMNAZHa",902991571070705664,@Talkmaster I think your outrage about her is disproportionate to the outrage you could have about other things you could be outraged about,1,0.0,0.0,,gender,2,1,1,1,0,2
